RESENI;2
Bloková pokuta;62522
k pøedání na ODSÈ;15978
Oznámeno správnímu orgánu mimo MP;7464
BPN;7375
Domluva;5334
Spoleèné øízení;3066
Napomenutí / Domluva do 1.7.2017;1271
Ukonèeno - nelze projednat;792
K vymáhání ORF MmB;149
Pøedáno DJ;125
Pøedáno na místì policistovi ÈR;104
Pøedáno dozorèí - revír Pole;51
Pøedáno dozorèí - revír Støed;50
Pøedáno ke kázeòskému projednání;48
Pøedáno územáø;27
Pøedáno na ODSÈ;21
Pøedáno dozorèí - revír Západ;20
Pøedáno dozorèí - revír Východ;17
Napomenutí;15
Pøedáno PÈR;12
V øešení JPP;11
Pøedáno dozorèí - revír Jih;8
šetøí IØ;7
Založeno;7
Pøedáno dozorèí - revír Bystrc;6
Zánik vozidla;5
Pøiloženo TUV;4
Pøedáno dozorèí - revír Tábor;4
Pøedáno dozorèí - revír Sever;4
Pøedáno JPP;4
k lustraci;3
Zrušeno;2
Zjištìní a pøedání;2
V øešení MP;2
Parkovaèka;2
Oznámeno ISEP (CRP);2
Domluva / Napomenutí;2
zadržení a pøedání pachatele policistovi;1
vylustrováno firma;1
V øešení DJ;1
Pøedáno na útulek;1
Pøedáno MOS;1
Pøedáno JPP na pøedání správnímu orgánu;1
Proveden Odtah;1
