MISTO;RESENI;PRESTUPEK
Beethovenova;Bloková pokuta;§ 27  odst.1 písm. o) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Èerného;Bloková pokuta;§ 25 odst.4 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Jihlavská;k pøedání na ODSÈ;§ 53 odst.2 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Merhautova;Bloková pokuta;§ 27  odst.1 písm. n) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Mlýnská;Oznámeno správnímu orgánu mimo MP;|§7 odst. 1 písm. b) zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù
Pastviny;Bloková pokuta;§ 53 odst.2 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Pellicova;Bloková pokuta;§ 39 odst.5 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Plachty;Bloková pokuta;§ 4 písm. c) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
Pøadlácká;Oznámeno správnímu orgánu mimo MP;|§8 odst. 1 písm. a) BOD 4. zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù
Vídeòská;Bloková pokuta;|§8 odst. 1 písm. a) BOD 1. zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù
Vondrákova;Oznámeno správnímu orgánu mimo MP;|§ 5 odst. 1 písm. g) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù
Vysoká;Bloková pokuta;§ 53 odst.2 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù
